GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,control.1.G,control.1.G.1,control.2.G,control.2.G.1,control.3.G,control.3.G.1,change
Ncor1,17,101,-2.570748642,-2.62807722,1.11E-16,1.14E-15,1.13E-15,TRUE,16,100,2,2,2,2,Down
Ncs1,3,25,-3.058893689,-3.116222268,5.56E-06,3.76E-05,3.74E-05,TRUE,2,2,2,24,2,2,Down
Ndel1,3,106,-5.142957954,-5.200286533,0,0,0,TRUE,2,101,2,6,2,2,Down
Ndrg3,3,57,-4.247927513,-4.305256092,4.33E-15,4.24E-14,4.23E-14,TRUE,2,44,2,2,2,14,Down
Ndufa2,17,219,-3.687324218,-3.744652797,0,0,0,TRUE,16,218,2,2,2,2,Down
Ndufa6,3,80,-4.736965594,-4.794294173,0,0,0,TRUE,2,2,2,2,2,79,Down
Ndufaf1,3,116,-5.273018494,-5.330347073,0,0,0,TRUE,2,115,2,2,2,2,Down
Ndufaf7,3,143,-5.574908836,-5.632237415,0,0,0,TRUE,2,65,2,2,2,79,Down
Necap1,3,23,-2.938599455,-2.995928034,1.94E-05,0.000126307,0.00012553,TRUE,2,22,2,2,2,2,Down
Nectin3,31,772,-4.638260727,-4.695589306,0,0,0,TRUE,30,31,2,2,2,742,Down
Nedd4l,7,1332,-7.572023445,-7.629352024,0,0,0,TRUE,6,1331,2,2,2,2,Down
Nek1,7,352,-5.652076697,-5.709405276,0,0,0,TRUE,2,179,6,2,2,174,Down
Nek11,17,95,-2.482392767,-2.539721346,2.00E-15,1.98E-14,1.98E-14,TRUE,7,94,11,2,2,2,Down
Nek4,3,25,-3.058893689,-3.116222268,5.56E-06,3.76E-05,3.74E-05,TRUE,2,24,2,2,2,2,Down
Nes,3,275,-6.518325308,-6.575653887,0,0,0,TRUE,2,274,2,2,2,2,Down
Net1,3,137,-5.513069582,-5.570398161,0,0,0,TRUE,2,86,2,2,2,52,Down
Neu4,3,16373,-12.41406857,-12.47139715,0,0,0,TRUE,2,960,2,10,2,15406,Down
Nfam1,305,1629,-2.417105456,-2.474434035,0,0,0,TRUE,304,1628,2,2,2,2,Down
Nfat5,19,125,-2.717856771,-2.77518535,0,0,0,TRUE,10,124,10,2,2,2,Down
Nfatc1,3,46,-3.938599455,-3.995928034,6.80E-12,6.02E-11,6.01E-11,TRUE,2,45,2,2,2,2,Down
Nfkb1,3,33,-3.459431619,-3.516760198,3.41E-08,2.62E-07,2.61E-07,TRUE,2,32,2,2,2,2,Down
Nfkbia,103,556,-2.432440546,-2.489769124,0,0,0,TRUE,41,101,2,2,63,456,Down
Nfx1,3,60,-4.321928095,-4.379256674,5.55E-16,5.59E-15,5.58E-15,TRUE,2,8,2,2,2,53,Down
Ngp,3,58,-4.273018494,-4.330347073,2.22E-15,2.19E-14,2.19E-14,TRUE,2,57,2,2,2,2,Down
