GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
Gm16158,13,197,-3.921612101,-3.958361756,0,0,0,TRUE,5,195,7,1,1,1,Down,NA
Gm16365,6,73,-3.604862058,-3.641611713,1.11E-16,8.04E-16,7.98E-16,TRUE,4,1,1,1,1,71,Down,NA
Gm16490,166,2040,-3.619314006,-3.65606366,0,0,0,TRUE,17,1,148,2038,1,1,Down,NA
Gm16685,45,1179,-4.711494907,-4.748244561,0,0,0,TRUE,25,1,19,1,1,1177,Down,NA
Gm17112,3,38,-3.662965013,-3.699714668,1.72E-09,9.59E-09,9.59E-09,TRUE,1,1,1,36,1,1,Down,NA
Gm17315,3,32,-3.415037499,-3.451787154,8.07E-08,4.15E-07,4.15E-07,TRUE,1,30,1,1,1,1,Down,NA
Gm17511,4,49,-3.614709844,-3.651459499,1.03E-11,6.34E-11,6.34E-11,TRUE,1,1,2,47,1,1,Down,NA
Gm17796,10,45,-2.169925001,-2.206674656,5.76E-07,2.83E-06,2.83E-06,TRUE,1,1,8,43,1,1,Down,NA
Gm17984,6,171,-4.832890014,-4.869639669,0,0,0,TRUE,4,1,1,169,1,1,Down,NA
Gm18018,7,39,-2.478047297,-2.514796952,4.76E-07,2.34E-06,2.34E-06,TRUE,5,1,1,37,1,1,Down,NA
Gm18042,3,75,-4.64385619,-4.680605845,0,0,0,TRUE,1,1,1,73,1,1,Down,NA
Gm18112,17,92,-2.436099115,-2.47284877,1.88E-14,1.27E-13,1.27E-13,TRUE,7,1,9,90,1,1,Down,NA
Gm18113,39,481,-3.624490865,-3.66124052,0,0,0,TRUE,37,34,1,1,1,446,Down,NA
Gm18265,428,2100,-2.294706626,-2.331456281,0,0,0,TRUE,103,1198,323,886,2,16,Down,NA
Gm18413,5,356,-6.153805336,-6.190554991,0,0,0,TRUE,1,354,3,1,1,1,Down,NA
Gm18617,3,55,-4.196397213,-4.233146868,2.45E-14,1.65E-13,1.65E-13,TRUE,1,1,1,1,1,53,Down,NA
Gm18635,3,27,-3.169925001,-3.206674656,1.89E-06,9.03E-06,9.02E-06,TRUE,1,1,1,25,1,1,Down,NA
Gm18655,56,333,-2.572023445,-2.6087731,0,0,0,TRUE,38,1,17,331,1,1,Down,NA
Gm19174,3,41,-3.772589504,-3.809339159,2.45E-10,1.42E-09,1.42E-09,TRUE,1,1,1,1,1,39,Down,NA
Gm19176,757,6951,-3.19885534,-3.235604994,0,0,0,TRUE,240,6945,516,1,1,5,Down,NA
Gm19202,18,97,-2.429987841,-2.466737496,4.11E-15,2.83E-14,2.83E-14,TRUE,16,1,1,95,1,1,Down,NA
Gm19269,12,223,-4.215937399,-4.252687054,0,0,0,TRUE,10,1,1,221,1,1,Down,NA
Gm19324,72,332,-2.20511443,-2.241864085,0,0,0,TRUE,52,1,19,44,1,287,Down,NA
Gm19325,22,92,-2.064130337,-2.100879992,4.26E-12,2.66E-11,2.66E-11,TRUE,16,90,5,1,1,1,Down,NA
Gm19418,5,71,-3.827819025,-3.864568679,0,0,0,TRUE,3,1,1,1,1,69,Down,NA
Gm19596,9,146,-4.019899557,-4.056649212,0,0,0,TRUE,1,1,7,144,1,1,Down,NA
Gm19619,3,26,-3.115477217,-3.152226872,3.53E-06,1.66E-05,1.65E-05,TRUE,1,1,1,1,1,24,Down,NA
Gm19801,11,77,-2.807354922,-2.844104577,3.60E-14,2.40E-13,2.40E-13,TRUE,6,1,4,1,1,75,Down,NA
Gm19872,3,248,-6.36923381,-6.405983464,0,0,0,TRUE,1,1,1,1,1,246,Down,NA
Gm19931,62,466,-2.909989834,-2.946739489,0,0,0,TRUE,20,1,41,1,1,464,Down,NA
Gm20121,54,573,-3.407503827,-3.444253481,0,0,0,TRUE,12,1,41,571,1,1,Down,NA
Gm20208,6,33,-2.459431619,-2.496181273,3.98E-06,1.84E-05,1.84E-05,TRUE,4,1,1,31,1,1,Down,NA
Gm20287,15,148,-3.30256277,-3.339312425,0,0,0,TRUE,13,1,1,91,1,56,Down,NA
Gm20621,3,52,-4.115477217,-4.152226872,1.79E-13,1.17E-12,1.17E-12,TRUE,1,1,1,1,1,50,Down,NA
Gm20663,3,234,-6.285402219,-6.322151874,0,0,0,TRUE,1,1,1,232,1,1,Down,NA
Gm21136,3,31,-3.36923381,-3.405983464,1.52E-07,7.73E-07,7.73E-07,TRUE,1,1,1,1,1,29,Down,NA
Gm21256,3,30,-3.321928095,-3.35867775,2.87E-07,1.43E-06,1.43E-06,TRUE,1,24,1,5,1,1,Down,NA
Gm21680,6,28,-2.222392421,-2.259142076,6.29E-05,0.000268708,0.000268698,TRUE,4,1,1,26,1,1,Down,NA
Gm21963,5,143,-4.837943242,-4.874692897,0,0,0,TRUE,3,141,1,1,1,1,Down,NA
