GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Lta4h,1638,23,6.154157686,6.211486265,0,0,0,TRUE
H2afy,6530,5601,0.221398563,0.278727142,0,0,0,TRUE
Gtf2ird2,279,3,6.539158811,6.59648739,0,0,0,TRUE
Adss,48,1283,-4.740342954,-4.683014375,0,0,0,TRUE
Cacna1d,544,1510,-1.472869993,-1.415541414,0,0,0,TRUE
Fnta,17,3835,-7.817548021,-7.760219442,0,0,0,TRUE
Fli1,3445,973,1.823992273,1.881320852,0,0,0,TRUE
Stard13,133,665,-2.321928095,-2.264599516,0,0,0,TRUE
Diexf,70,349,-2.317800209,-2.26047163,0,0,0,TRUE
Syt14,54,221,-2.033015057,-1.975686478,0,0,0,TRUE
Atp5e,72,3,4.584962501,4.64229108,0,0,0,TRUE
Atp1b4,99,3,5.044394119,5.101722698,0,0,0,TRUE
Pls3,578,19,4.926998169,4.984326748,0,0,0,TRUE
Nkap,304,2820,-3.213551934,-3.156223355,0,0,0,TRUE
Ppfibp1,135,11977,-6.471163369,-6.413834791,0,0,0,TRUE
Plgrkt,274,3,6.513069582,6.570398161,0,0,0,TRUE
Lnx2,293,41,2.83720485,2.894533429,0,0,0,TRUE
Lamp2,601,2236,-1.895483292,-1.838154713,0,0,0,TRUE
Eif3d,2056,1422,0.5319188,0.589247379,0,0,0,TRUE
Mrps18c,3,98,-5.029747343,-4.972418764,0,0,0,TRUE
Srsf6,32,466,-3.864186145,-3.806857566,0,0,0,TRUE
Plcg1,347,19,4.190864339,4.248192918,0,0,0,TRUE
Rbpjl,995,628,0.663931967,0.721260545,0,0,0,TRUE
Sdc4,26,4237,-7.348387695,-7.291059116,0,0,0,TRUE
Il13ra1,439,1478,-1.751353425,-1.694024846,0,0,0,TRUE
Rnd3,61,780,-3.676592976,-3.619264397,0,0,0,TRUE
Gsdma,767,7,6.775727845,6.833056424,0,0,0,TRUE
Taok1,231,5076,-4.457727312,-4.400398733,0,0,0,TRUE
Nlk,63,432,-2.777607579,-2.720279,0,0,0,TRUE
Psmd11,1315,365,1.84909443,1.906423009,0,0,0,TRUE
Crlf3,24,374,-3.961931959,-3.90460338,0,0,0,TRUE
Wsb1,5766,277,4.379612955,4.436941534,0,0,0,TRUE
Rhot1,170,22,2.949959318,3.007287896,0,0,0,TRUE
Crk,202,3,6.073248982,6.130577561,0,0,0,TRUE
Dhx58,3,548,-7.513069582,-7.455741003,0,0,0,TRUE
Mybl2,51,256,-2.327574658,-2.270246079,0,0,0,TRUE
Ints2,1054,149,2.822490631,2.87981921,0,0,0,TRUE
Med13l,35,356,-3.346450414,-3.289121835,0,0,0,TRUE
Med1,1438,3511,-1.28781832,-1.230489741,0,0,0,TRUE
Vmp1,27110,39068,-0.527162289,-0.46983371,0,0,0,TRUE
Uchl5,77,4,4.266786541,4.32411512,0,0,0,TRUE
Glrx2,26,1330,-5.676770812,-5.619442233,0,0,0,TRUE
Trove2,962,10,6.587964989,6.645293568,0,0,0,TRUE
Pmp22,98,18144,-7.532495081,-7.475166502,0,0,0,TRUE
Tomm34,2380,1787,0.413421939,0.470750518,0,0,0,TRUE
Ywhab,143,2374,-4.053232883,-3.995904304,0,0,0,TRUE
Anxa6,307,2087,-2.76512004,-2.707791461,0,0,0,TRUE
Srsf1,254,549,-1.111977652,-1.054649073,0,0,0,TRUE
8-Sep,29,224,-2.949373927,-2.892045348,0,0,0,TRUE
Mtmr4,247,1536,-2.636595269,-2.57926669,0,0,0,TRUE
Myo1b,123,3,5.357552005,5.414880584,0,0,0,TRUE
Ypel2,813,27103,-5.059053388,-5.001724809,0,0,0,TRUE
Nol11,110,347,-1.657432139,-1.60010356,0,0,0,TRUE
Derl2,72,3,4.584962501,4.64229108,0,0,0,TRUE
C1qbp,209,16,3.707359132,3.764687711,0,0,0,TRUE
6330403K07Rik,3,70,-4.544320516,-4.486991937,0,0,0,TRUE
Kdm6b,6526,1516,2.105929234,2.163257813,0,0,0,TRUE
Gabarap,187,548,-1.551137623,-1.493809044,0,0,0,TRUE
Dnah11,192,462,-1.266786541,-1.209457962,0,0,0,TRUE
G3bp1,708,358,0.983789773,1.041118352,0,0,0,TRUE
Tbx3,2427,103,4.558457866,4.615786445,0,0,0,TRUE
Tada2a,48,893,-4.217553864,-4.160225285,0,0,0,TRUE
Cdk5rap3,3,102,-5.087462841,-5.030134262,0,0,0,TRUE
Dync1h1,112,3,5.222392421,5.279721,0,0,0,TRUE
Ndel1,106,3,5.142957954,5.200286533,0,0,0,TRUE
Zbtb4,671,1281,-0.932885804,-0.875557225,0,0,0,TRUE
Acsl1,303,701,-1.210096651,-1.152768072,0,0,0,TRUE
Abca5,37,375,-3.34129342,-3.283964841,0,0,0,TRUE
Mrpl45,3,139,-5.533978572,-5.476649993,0,0,0,TRUE
Irf1,112,3,5.222392421,5.279721,0,0,0,TRUE
Ccl6,3,107,-5.156504486,-5.099175907,0,0,0,TRUE
Map2k3,160,11,3.862496476,3.919825055,0,0,0,TRUE
Ywhah,37,250,-2.756330919,-2.69900234,0,0,0,TRUE
BC005537,990,609,0.700986297,0.758314876,0,0,0,TRUE
Mdh2,15,787,-5.71332923,-5.656000651,0,0,0,TRUE
Ahr,541,2354,-2.121413821,-2.064085242,0,0,0,TRUE
Map1s,20,521,-4.703211467,-4.645882888,0,0,0,TRUE
D8Ertd738e,415,3,7.112005026,7.169333604,0,0,0,TRUE
Fkbp8,132,3,5.459431619,5.516760198,0,0,0,TRUE
Ddx39b,93,3,4.95419631,5.011524889,0,0,0,TRUE
Ptger1,3,441,-7.199672345,-7.142343766,0,0,0,TRUE
Gyg,127,1553,-3.612157428,-3.554828849,0,0,0,TRUE
Slc6a8,3,161,-5.745954377,-5.688625798,0,0,0,TRUE
Sema6a,1251,6183,-2.305225216,-2.247896637,0,0,0,TRUE
Akt3,1798,8,7.812177306,7.869505884,0,0,0,TRUE
