GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.2.G,Test.3.G,control.1.G,control.2.G,control.3.G,change,label,FDR
AC130671.1,126,3,5.392317423,5.513207592,0,0,0,TRUE,23,102,1,1,1,1,Up,NA,0
AC131586.1,180,17,3.404390255,3.525280425,0,0,0,TRUE,89,90,1,1,1,15,Up,NA,0
AC131745.1,498,3,7.375039431,7.495929601,0,0,0,TRUE,18,22,458,1,1,1,Up,NA,0
AC131747.2,44,3,3.874469118,3.995359288,9.84E-12,6.16E-11,6.14E-11,TRUE,13,8,23,1,1,1,Up,NA,6.33E-11
AC132392.1,50,3,4.058893689,4.179783859,1.60E-13,1.07E-12,1.07E-12,TRUE,19,30,1,1,1,1,Up,NA,1.10E-12
AC132467.2,23,3,2.938599455,3.059489625,1.20E-05,5.39E-05,5.35E-05,TRUE,1,21,1,1,1,1,Up,NA,5.55E-05
AC132833.3,85,3,4.824428435,4.945318605,0,0,0,TRUE,1,83,1,1,1,1,Up,NA,0
AC135083.1,966,15,6.008988783,6.129878953,0,0,0,TRUE,245,105,616,1,1,13,Up,NA,0
AC135119.1,210,26,3.0138058,3.134695969,0,0,0,TRUE,51,30,129,24,1,1,Up,NA,0
AC136019.1,63,3,4.392317423,4.513207592,0,0,0,TRUE,61,1,1,1,1,1,Up,NA,0
AC137842.3,61,3,4.345774837,4.466665007,1.11E-16,8.23E-16,8.18E-16,TRUE,39,21,1,1,1,1,Up,NA,8.41E-16
AC138715.1,26,5,2.378511623,2.499401793,3.03E-05,0.00013252,0.000132499,TRUE,11,14,1,1,3,1,Up,NA,0.000137673
AC140267.3,85,3,4.824428435,4.945318605,0,0,0,TRUE,1,83,1,1,1,1,Up,NA,0
AC140406.1,34,3,3.502500341,3.62339051,8.61E-09,4.71E-08,4.69E-08,TRUE,18,15,1,1,1,1,Up,NA,4.84E-08
AC140406.2,23,3,2.938599455,3.059489625,1.20E-05,5.39E-05,5.35E-05,TRUE,21,1,1,1,1,1,Up,NA,5.55E-05
AC141884.2,24,3,3,3.12089017,6.28E-06,2.89E-05,2.87E-05,TRUE,5,18,1,1,1,1,Up,NA,2.98E-05
AC142245.1,138,3,5.523561956,5.644452126,0,0,0,TRUE,117,20,1,1,1,1,Up,NA,0
AC144772.3,194,3,6.014950341,6.135840511,0,0,0,TRUE,188,5,1,1,1,1,Up,NA,0
AC146911.1,211,3,6.136136688,6.257026858,0,0,0,TRUE,209,1,1,1,1,1,Up,NA,0
AC147041.1,24,3,3,3.12089017,6.28E-06,2.89E-05,2.87E-05,TRUE,17,6,1,1,1,1,Up,NA,2.98E-05
AC148328.1,75,3,4.64385619,4.764746359,0,0,0,TRUE,41,33,1,1,1,1,Up,NA,0
AC151836.1,38,8,2.247927513,2.368817683,1.04E-06,5.01E-06,5.01E-06,TRUE,36,1,1,1,1,6,Up,NA,5.19E-06
AC154276.1,25,3,3.058893689,3.179783859,3.29E-06,1.54E-05,1.53E-05,TRUE,17,7,1,1,1,1,Up,NA,1.59E-05
AC154311.1,46,3,3.938599455,4.059489625,2.50E-12,1.61E-11,1.60E-11,TRUE,13,32,1,1,1,1,Up,NA,1.65E-11
AC154323.2,99,3,5.044394119,5.165284289,0,0,0,TRUE,1,1,97,1,1,1,Up,NA,0
AC154528.2,33,3,3.459431619,3.580321788,1.68E-08,9.06E-08,9.02E-08,TRUE,31,1,1,1,1,1,Up,NA,9.32E-08
AC154575.1,21,3,2.807354922,2.928245092,4.29E-05,0.000185542,0.000184137,TRUE,13,7,1,1,1,1,Up,NA,0.000191319
AC154589.1,35,3,3.544320516,3.665210686,4.40E-09,2.44E-08,2.43E-08,TRUE,7,27,1,1,1,1,Up,NA,2.51E-08
AC154616.2,1081,3,8.493188307,8.614078477,0,0,0,TRUE,440,636,5,1,1,1,Up,NA,0
AC154627.2,110,3,5.196397213,5.317287383,0,0,0,TRUE,76,33,1,1,1,1,Up,NA,0
AC154627.3,21,3,2.807354922,2.928245092,4.29E-05,0.000185542,0.000184137,TRUE,4,1,16,1,1,1,Up,NA,0.000191319
AC154640.1,30,3,3.321928095,3.442818265,1.24E-07,6.36E-07,6.33E-07,TRUE,11,18,1,1,1,1,Up,NA,6.54E-07
AC154687.1,159,3,5.727920455,5.848810624,0,0,0,TRUE,36,122,1,1,1,1,Up,NA,0
AC154757.1,387,82,2.238637752,2.359527921,0,0,0,TRUE,172,214,1,61,20,1,Up,NA,0
AC154760.1,69,3,4.523561956,4.644452126,0,0,0,TRUE,67,1,1,1,1,1,Up,NA,0
AC154838.1,39,3,3.700439718,3.821329888,2.96E-10,1.74E-09,1.73E-09,TRUE,5,33,1,1,1,1,Up,NA,1.79E-09
AC154846.1,853,27,4.981514429,5.102404599,0,0,0,TRUE,549,284,20,9,17,1,Up,NA,0
AC155167.2,35,3,3.544320516,3.665210686,4.40E-09,2.44E-08,2.43E-08,TRUE,25,9,1,1,1,1,Up,NA,2.51E-08
AC155252.2,57,3,4.247927513,4.368817683,1.22E-15,8.76E-15,8.73E-15,TRUE,12,44,1,1,1,1,Up,NA,8.98E-15
AC158556.1,64,3,4.415037499,4.535927669,0,0,0,TRUE,32,31,1,1,1,1,Up,NA,0
