id,name,Test-1+G,Test-1-G,Test-2+G,Test-2-G,Test-3+G,Test-3-G,control-1+G,control-1-G,control-2+G,control-2-G,control-3+G,control-3-G
ENSMUSG00000106494,Igkv2-107,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106495,Gm42755,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106496,Gm7733,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106497,Gm43195,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106498,Gm43032,0,100,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106499,Gm9403,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106500,Gm42540,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106501,Gm42711,0,0,15,0,0,0,8,0,0,0,45,0
ENSMUSG00000106502,Gm42795,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106503,Gm42827,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106504,Gm43529,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106505,Gm32693,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106506,4930558F17Rik,0,0,9,0,0,0,0,0,0,0,0,0
ENSMUSG00000106507,Gm43056,2,0,0,0,0,0,0,4,0,0,0,0
ENSMUSG00000106508,4933425M03Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106509,Gm43394,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106510,Gm18429,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106511,Gm43521,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106512,Gm43078,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106513,Gm44348,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106514,Mir6976,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106515,Gm30382,32,0,43,0,0,0,3,166,0,0,0,0
ENSMUSG00000106516,Gm42441,44,0,0,0,0,0,0,5,0,0,0,0
ENSMUSG00000106517,Gm42634,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106518,Gm42759,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106519,Gm38509,0,0,0,7,0,0,0,0,0,0,0,0
ENSMUSG00000106520,Gm8706,0,0,2,0,0,0,0,2,0,0,0,0
ENSMUSG00000106521,Gm44343,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106522,Gm42871,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106523,Gm44497,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106524,Gm42706,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106525,Gm42695,43,0,3,473,0,0,0,0,0,0,0,0
ENSMUSG00000106526,Gm42604,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106527,Gm43671,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106528,Gm42841,0,0,22,67,0,0,0,6,0,0,2,0
ENSMUSG00000106529,Gm18451,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106530,Gm42430,4,0,0,0,0,0,0,0,0,99,0,0
ENSMUSG00000106531,Gm43233,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106532,Gm5714,4,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106533,Trav3d-2,0,0,0,0,0,134,0,0,0,0,0,0
ENSMUSG00000106534,Gm6366,0,0,0,0,0,0,8,0,0,0,0,0
ENSMUSG00000106535,Gm43031,0,0,0,0,0,0,0,0,0,0,0,9
ENSMUSG00000106536,Gm42508,224,0,125,0,0,0,0,0,0,0,0,0
ENSMUSG00000106537,Gm43502,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106538,Gm30301,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106539,Gm43670,1951,0,2287,0,4,0,973,573,0,0,0,0
ENSMUSG00000106540,4930590L14Rik,0,0,0,0,0,0,0,0,0,0,0,0
