GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Vps72,3,252,-6.392317423,-6.513207592,0,0,0,TRUE
Dynll1,3,599,-7.641449692,-7.762339862,0,0,0,TRUE
Pdcl,40281,2212,4.186676209,4.065786039,0,0,0,TRUE
Nf2,470,92,2.352954991,2.232064821,0,0,0,TRUE
Ap1b1,3,78,-4.700439718,-4.821329888,0,0,0,TRUE
Gstt4,35,299,-3.094718657,-3.215608827,0,0,0,TRUE
Bcl2l13,15,327,-4.44625623,-4.5671464,0,0,0,TRUE
2610028H24Rik,3,125,-5.380821784,-5.501711954,0,0,0,TRUE
Lnpk,22,599,-4.766980574,-4.887870744,0,0,0,TRUE
Met,60,8450,-7.13784503,-7.2587352,0,0,0,TRUE
Syn2,268,33,3.021695071,2.900804901,0,0,0,TRUE
Elk1,3,97,-5.014950341,-5.135840511,0,0,0,TRUE
Nav1,4,130,-5.022367813,-5.143257983,0,0,0,TRUE
Tnpo1,2721,321,3.083491754,2.962601584,0,0,0,TRUE
Otog,3,123,-5.357552005,-5.478442174,0,0,0,TRUE
Rnmt,3,694,-7.853829352,-7.974719522,0,0,0,TRUE
Srp14,3,466,-7.279223644,-7.400113814,0,0,0,TRUE
Cdk9,3,280,-6.544320516,-6.665210686,0,0,0,TRUE
Mkl2,36,662,-4.200762405,-4.321652575,0,0,0,TRUE
Cbx5,6997,15760,-1.171459138,-1.292349308,0,0,0,TRUE
Taf7l,3,166,-5.790076931,-5.9109671,0,0,0,TRUE
Mcu,12,458,-5.254241287,-5.375131457,0,0,0,TRUE
Bcr,170,381,-1.164256251,-1.285146421,0,0,0,TRUE
Fxyd5,3,62,-4.36923381,-4.490123979,0,0,0,TRUE
Ubp1,3,926,-8.269905883,-8.390796052,0,0,0,TRUE
Ick,17,141,-3.052088511,-3.172978681,0,0,0,TRUE
Kdsr,116,321,-1.468448492,-1.589338662,0,0,0,TRUE
Vps4b,6,261,-5.442943496,-5.563833666,0,0,0,TRUE
Rps25,17073,1574,3.439209139,3.31831897,0,0,0,TRUE
Slc3a2,150,2615,-4.123776541,-4.24466671,0,0,0,TRUE
Nxf1,3,894,-8.21916852,-8.34005869,0,0,0,TRUE
Slc47a1,3,91,-4.922832139,-5.043722309,0,0,0,TRUE
Spire2,19,117,-2.622437206,-2.743327376,0,0,0,TRUE
Prox1,3,200,-6.058893689,-6.179783859,0,0,0,TRUE
2610507B11Rik,3,154,-5.68182404,-5.80271421,0,0,0,TRUE
Tex14,3,104,-5.115477217,-5.236367387,0,0,0,TRUE
Ifi35,3,69,-4.523561956,-4.644452126,0,0,0,TRUE
Rdm1,243,610,-1.327852929,-1.448743099,0,0,0,TRUE
Kansl3,27,121,-2.163975735,-2.284865905,0,0,0,TRUE
Ebf3,12,1895,-7.303019632,-7.423909802,0,0,0,TRUE
Tsacc,3,68,-4.502500341,-4.62339051,0,0,0,TRUE
Mettl16,3,84,-4.807354922,-4.928245092,0,0,0,TRUE
Apol7a,74,3,4.624490865,4.503600695,0,0,0,TRUE
Rbm25,860,22424,-4.704563179,-4.825453349,0,0,0,TRUE
Gabra1,3,108,-5.169925001,-5.290815171,0,0,0,TRUE
Tbrg1,713,197,1.855706447,1.734816277,0,0,0,TRUE
Panx3,3,123,-5.357552005,-5.478442174,0,0,0,TRUE
Adam19,3,275,-6.518325308,-6.639215477,0,0,0,TRUE
Evi5,3,723,-7.912889336,-8.033779506,0,0,0,TRUE
Ccnt1,487,916,-0.911425826,-1.032315996,0,0,0,TRUE
Brms1l,203,36,2.495410916,2.374520746,0,0,0,TRUE
Med15,5,71,-3.827819025,-3.948709194,0,0,0,TRUE
Dhdds,3,684,-7.832890014,-7.953780184,0,0,0,TRUE
Rpl15,213,3,6.14974712,6.02885695,0,0,0,TRUE
Tmem167,290,763,-1.395630157,-1.516520327,0,0,0,TRUE
Tnpo3,1549,388,1.997208587,1.876318417,0,0,0,TRUE
Ttll5,3,210,-6.129283017,-6.250173187,0,0,0,TRUE
Cdh23,26,121,-2.218423519,-2.339313689,0,0,0,TRUE
Amotl1,3,64,-4.415037499,-4.535927669,0,0,0,TRUE
Etv5,8021,3391,1.242071328,1.121181159,0,0,0,TRUE
Gfod2,168,7,4.584962501,4.464072331,0,0,0,TRUE
Ptprs,170,637,-1.905758626,-2.026648796,0,0,0,TRUE
B4galnt2,20,119,-2.572889668,-2.693779838,0,0,0,TRUE
Zfp651,29,296,-3.351472371,-3.47236254,0,0,0,TRUE
Bcas1,233,45,2.372333048,2.251442879,0,0,0,TRUE
