GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Gstt4,3,299,-6.639039173,-6.602289519,0,0,0,TRUE
Bcl2l13,3,327,-6.768184325,-6.73143467,0,0,0,TRUE
2610028H24Rik,3,125,-5.380821784,-5.344072129,0,0,0,TRUE
Dqx1,3,77,-4.68182404,-4.645074385,0,0,0,TRUE
Lnpk,3,599,-7.641449692,-7.604700037,0,0,0,TRUE
Met,35,8450,-7.915452609,-7.878702954,0,0,0,TRUE
Elk1,3,97,-5.014950341,-4.978200687,0,0,0,TRUE
Tnpo1,96,321,-1.741466986,-1.704717332,0,0,0,TRUE
Rnmt,3,694,-7.853829352,-7.817079697,0,0,0,TRUE
Srp14,3,466,-7.279223644,-7.242473989,0,0,0,TRUE
Cdk9,3,280,-6.544320516,-6.507570861,0,0,0,TRUE
Mkl2,3,662,-7.785724906,-7.748975251,0,0,0,TRUE
Cbx5,31,15760,-8.989783604,-8.953033949,0,0,0,TRUE
Mcu,3,458,-7.254241287,-7.217491633,0,0,0,TRUE
Bcr,3,381,-6.988684687,-6.951935032,0,0,0,TRUE
Tfcp2,245,943,-1.944476022,-1.907726367,0,0,0,TRUE
Ubp1,289,926,-1.679942701,-1.643193046,0,0,0,TRUE
Ick,3,141,-5.554588852,-5.517839197,0,0,0,TRUE
Sdhb,76,6,3.662965013,3.699714668,0,0,0,TRUE
Kdsr,3,321,-6.741466986,-6.704717332,0,0,0,TRUE
Vps4b,5,261,-5.705977902,-5.669228247,0,0,0,TRUE
Rps25,87,1574,-4.17727633,-4.140526675,0,0,0,TRUE
Nxf2,3,211,-6.136136688,-6.099387033,0,0,0,TRUE
Slc3a2,3,2615,-9.76763273,-9.730883076,0,0,0,TRUE
Nxf1,3,894,-8.21916852,-8.182418866,0,0,0,TRUE
Slc47a1,3,91,-4.922832139,-4.886082485,0,0,0,TRUE
Spire2,8,117,-3.87036472,-3.833615065,0,0,0,TRUE
Prox1,3,200,-6.058893689,-6.022144034,0,0,0,TRUE
2610507B11Rik,3,154,-5.68182404,-5.645074385,0,0,0,TRUE
Tex14,3,104,-5.115477217,-5.078727563,0,0,0,TRUE
Ifi35,3,69,-4.523561956,-4.486812301,0,0,0,TRUE
Rdm1,3,610,-7.667702932,-7.630953277,0,0,0,TRUE
Kansl3,3,121,-5.333900737,-5.297151082,0,0,0,TRUE
Eya4,3,106,-5.142957954,-5.106208299,0,0,0,TRUE
Ebf3,3,1895,-9.303019632,-9.266269978,0,0,0,TRUE
Tsacc,3,68,-4.502500341,-4.465750686,0,0,0,TRUE
Mettl16,3,84,-4.807354922,-4.770605267,0,0,0,TRUE
Rbm25,4231,22424,-2.405973059,-2.369223404,0,0,0,TRUE
Lmbr1,3,130,-5.437405312,-5.400655658,0,0,0,TRUE
Tbrg1,1746,197,3.147786024,3.184535679,0,0,0,TRUE
Panx3,13,123,-3.242074787,-3.205325132,0,0,0,TRUE
Dmrtc2,92,3,4.938599455,4.97534911,0,0,0,TRUE
Evi5,226,723,-1.677672875,-1.64092322,0,0,0,TRUE
Gltp,766,302,1.342795843,1.379545497,0,0,0,TRUE
Bnip2,3,113,-5.235216462,-5.198466807,0,0,0,TRUE
Ccnt1,55,916,-4.057844075,-4.02109442,0,0,0,TRUE
Med15,3,71,-4.564784619,-4.528034964,0,0,0,TRUE
Dhdds,336,684,-1.025535092,-0.988785437,0,0,0,TRUE
Rpl15,224,3,6.222392421,6.259142076,0,0,0,TRUE
Tmem167,152,763,-2.327611733,-2.290862079,0,0,0,TRUE
Tnpo3,3,388,-7.014950341,-6.978200687,0,0,0,TRUE
Ttll5,3,210,-6.129283017,-6.092533362,0,0,0,TRUE
Cdh23,3,121,-5.333900737,-5.297151082,0,0,0,TRUE
Etv5,481,3391,-2.817601985,-2.78085233,0,0,0,TRUE
Enkd1,544,111,2.293046975,2.32979663,0,0,0,TRUE
Ptprs,12,637,-5.730187062,-5.693437407,0,0,0,TRUE
Igf2bp1,164,30,2.450661409,2.487411064,0,0,0,TRUE
Zfp651,3,296,-6.624490865,-6.58774121,0,0,0,TRUE
