"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061578","GO:0061578","K63-linked deubiquitinase activity","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Cyld/Stambp/Tnfaip3/Usp14",4
"GO:0097157","GO:0097157","pre-mRNA intronic binding","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Prpf8/Rbm4/Rbm7/Rnpc3",4
"GO:0097371","GO:0097371","MDM2/MDM4 family protein binding","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Bcl2l1/Rpl37rt/Rps15/Trp53",4
"GO:1901612","GO:1901612","cardiolipin binding","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Atp8b1/Gsdme/Mme/Uqcc3",4
"GO:0004497","GO:0004497","monooxygenase activity","29/4410","155/28396",0.187096774193548,1.20471655328798,1.09582219176116,0.161991172786345,0.293404761084201,0.194841498588763,"Akr1cl/Coq7/Cyp11b1/Cyp19a1/Cyp1b1/Cyp2b23/Cyp2c23/Cyp2f2/Cyp2g1/Cyp2j9/Cyp2t4/Cyp39a1/Cyp3a13/Cyp3a41b/Cyp3a44/Cyp4a14/Cyp4f39/Cyp51/Fdx1/Fmo2/Fmo4/Fmo5/Fmo6/Foxred2/Kmo/Mical2/Nos3/Sqle/Tph1",29
"GO:0008201","GO:0008201","heparin binding","33/4410","179/28396",0.184357541899441,1.18707863033482,1.07660550115787,0.164760046836371,0.297990473199019,0.19788673554145,"Aamp/Abi3bp/Adamts15/Adamts5/Alk/Ang/App/Col13a1/Cxcl10/Fgf2/Fgf7/Fgf9/Furin/Lamc2/Lipg/Liph/Lpl/Lrtm1/Ltbp2/Mpo/Nrp1/Pcolce2/Pcsk6/Postn/Ptch1/Reg4/Rpl22/Rspo2/Serpinc1/Serpind1/Slit1/Slit2/Vtn",33
"GO:0019956","GO:0019956","chemokine binding","8/4410","35/28396",0.228571428571429,1.47177194687399,1.19747562379956,0.165705405968683,0.298840308899046,0.19845108651086,"Ccr4/Ccr9/Ccrl2/Cxcr5/Cxcr6/Fgf2/Plp2/Xcr1",8
"GO:0140299","GO:0140299","small molecule sensor activity","8/4410","35/28396",0.228571428571429,1.47177194687399,1.19747562379956,0.165705405968683,0.298840308899046,0.19845108651086,"Egln2/Mlh1/Msh3/Ndufs2/Nlrp3/Rad51c/Sirt6/Tmem63b",8
"GO:0005504","GO:0005504","fatty acid binding","13/4410","63/28396",0.206349206349206,1.32868300759457,1.11985698392062,0.170612418311681,0.307249011200262,0.204035059148187,"Cyp4a14/Fabp4/Fabp5/Fabp7/Ffar4/Gpr31b/Hnf4a/Pitpna/Ptgds/Rida/Scp2/Snca/Stx3",13
"GO:0005506","GO:0005506","iron ion binding","32/4410","174/28396",0.183908045977011,1.18418432507102,1.04494808385653,0.172742762592358,0.310640418567373,0.206287193337459,"Aloxe3/Aox1/Aox3/Aox4/Ciapin1/Cyp19a1/Cyp1b1/Cyp2c23/Cyp2f2/Cyp39a1/Cyp3a13/Cyp3a41b/Cyp4a14/Cyp51/Dnajc24/Egln1/Egln2/Fdx1/Heph/Isca2/Jmjd6/Kdm7a/Ogfod1/P4ha3/P4htm/Phf2/Phyh/Rplp2/Slc11a2/Snca/Tph1/Tyw5",32
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","6/4410","25/28396",0.24,1.54536054421769,1.16970868198477,0.181498602209514,0.324528795131379,0.215510056977083,"Ccr4/Ccr9/Ccrl2/Cxcr5/Cxcr6/Xcr1",6
"GO:0004950","GO:0004950","chemokine receptor activity","6/4410","25/28396",0.24,1.54536054421769,1.16970868198477,0.181498602209514,0.324528795131379,0.215510056977083,"Ccr4/Ccr9/Ccrl2/Cxcr5/Cxcr6/Xcr1",6
"GO:0019957","GO:0019957","C-C chemokine binding","6/4410","25/28396",0.24,1.54536054421769,1.16970868198477,0.181498602209514,0.324528795131379,0.215510056977083,"Ccr4/Ccr9/Ccrl2/Cxcr5/Cxcr6/Xcr1",6
"GO:0050699","GO:0050699","WW domain binding","6/4410","25/28396",0.24,1.54536054421769,1.16970868198477,0.181498602209514,0.324528795131379,0.215510056977083,"Dnm2/Ndfip1/Nfe2/Traf4/Wbp11/Wbp2nl",6
"GO:0008375","GO:0008375","acetylglucosaminyltransferase activity","10/4410","47/28396",0.212765957446809,1.37000048246249,1.08853817400333,0.184434575519192,0.328842924010814,0.218374943466546,"Alg13/Alg14/Extl2/Extl3/Gcnt1/Gcnt2/Hexa/Mgat3/Mgat4a/Mgat4c",10
"GO:0060590","GO:0060590","ATPase regulator activity","10/4410","47/28396",0.212765957446809,1.37000048246249,1.08853817400333,0.184434575519192,0.328842924010814,0.218374943466546,"Ahsa1/Dnaja2/Dnajb1/Dnajc24/Hscb/Hspa4l/Hsph1/Katnb1/Nkrf/Tor1aip1",10
"GO:0030246","GO:0030246","carbohydrate binding","51/4410","290/28396",0.175862068965517,1.13237626084917,0.971562859081686,0.185615174530113,0.329455419843942,0.218781683989654,"Agl/Aldoa/Bcan/Cd72/Clec12a/Clec4a1/Clec4a3/Cntn1/Col9a1/Egln1/Egln2/Fam3a/Fbxo2/Fcer2a/Fcna/Galnt10/Galnt7/Ganab/Gbe1/Gpcpd1/Gusb/H6pd/Hk1/Hkdc1/Igf2r/Klrb1c/Klrg1/Klri2/Krt1/Lgals4/Lman2l/Man2b1/Mbl2/Mlec/Ncan/Ogfod1/P4ha3/P4htm/Pfkl/Pfkm/Pfkp/Pgls/Phyh/Pkd1/Pkd1l3/Pklr/Prg4/Reg4/Rpia/Vtn/Zp3",51
"GO:0042887","GO:0042887","amide transmembrane transporter activity","8/4410","36/28396",0.222222222222222,1.43088939279415,1.10923932246337,0.18587814321299,0.329455419843942,0.218781683989654,"Abcc1/Aqp3/Aqp8/Slc13a3/Slc15a2/Slc27a1/Slc33a1/Slc47a1",8
"GO:0140034","GO:0140034","methylation-dependent protein binding","24/4410","128/28396",0.1875,1.20731292517007,1.00796427456714,0.186117065378869,0.329455419843942,0.218781683989654,"Dppa3/Gm20773/Gm20826/Gm20854/Hdgfl2/Ing1/Ing3/Kdm4c/Kdm7a/L3mbtl1/Lrwd1/Morc3/Phf13/Phf2/Phf20l1/Pwwp2a/Pygo1/Rag2/Setd5/Taf1/Uhrf1/Zcwpw2/Zmynd11/Zzz3",24
"GO:0004629","GO:0004629","phospholipase C activity","5/4410","20/28396",0.25,1.60975056689342,1.169641958802,0.188693016321334,0.329455419843942,0.218781683989654,"Gdpd5/Plcb3/Plcb4/Plcd3/Plce1",5
"GO:0032794","GO:0032794","GTPase activating protein binding","5/4410","20/28396",0.25,1.60975056689342,1.169641958802,0.188693016321334,0.329455419843942,0.218781683989654,"Akt1/Fmnl3/Gnao1/Gnb5/Rgs14",5
"GO:0051428","GO:0051428","peptide hormone receptor binding","5/4410","20/28396",0.25,1.60975056689342,1.169641958802,0.188693016321334,0.329455419843942,0.218781683989654,"Fyn/Gnao1/Gphb5/Psmc5/Ptpn11",5
"GO:0004879","GO:0004879","nuclear receptor activity","11/4410","53/28396",0.207547169811321,1.3363966970436,1.05106134902589,0.191115192846684,0.329455419843942,0.218781683989654,"Ar/Hnf4a/Nr1d1/Nr1d2/Nr1h5/Nr1i3/Nr4a3/Nr6a1/Stat3/Thra/Thrb",11
"GO:0005544","GO:0005544","calcium-dependent phospholipid binding","11/4410","53/28396",0.207547169811321,1.3363966970436,1.05106134902589,0.191115192846684,0.329455419843942,0.218781683989654,"Anxa2/Anxa7/Cpne7/Cpne9/Dysf/Pclo/Pla2g4a/Syt12/Syt17/Syt2/Syt6",11
"GO:0001056","GO:0001056","RNA polymerase III activity","3/4410","10/28396",0.3,1.93170068027211,1.2635302097824,0.193728359527539,0.329455419843942,0.218781683989654,"Polr1d/Polr2f/Polr3a",3
