GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
Gpr26,83,11,2.915607813,2.878858158,6.88E-15,4.73E-14,4.73E-14,TRUE,81,9,1,1,1,1,Up,NA
Gpr31b,213,3,6.14974712,6.112997465,0,0,0,TRUE,68,1,144,1,1,1,Up,NA
Gpr35,250,3,6.380821784,6.344072129,0,0,0,TRUE,79,1,170,1,1,1,Up,NA
Gpr37,28,3,3.222392421,3.185642767,1.96E-06,9.30E-06,9.24E-06,TRUE,5,1,22,1,1,1,Up,NA
Gprasp2,37,3,3.624490865,3.58774121,7.97E-09,4.31E-08,4.29E-08,TRUE,35,1,1,1,1,1,Up,NA
Gprc5b,26,3,3.115477217,3.078727563,6.51E-06,2.98E-05,2.96E-05,TRUE,20,1,5,1,1,1,Up,NA
Gprc5c,22,3,2.874469118,2.837719463,6.93E-05,0.000293487,0.000291672,TRUE,6,1,1,1,15,1,Up,NA
Gprc5d,68,3,4.502500341,4.465750686,0,0,0,TRUE,33,1,34,1,1,1,Up,NA
Gprc6a,35,3,3.544320516,3.507570861,2.75E-08,1.44E-07,1.43E-07,TRUE,23,1,11,1,1,1,Up,NA
Gprin2,35,3,3.544320516,3.507570861,2.75E-08,1.44E-07,1.43E-07,TRUE,33,1,1,1,1,1,Up,NA
Gprin3,38,3,3.662965013,3.626215358,4.29E-09,2.35E-08,2.34E-08,TRUE,32,1,5,1,1,1,Up,NA
Gpt,26,3,3.115477217,3.078727563,6.51E-06,2.98E-05,2.96E-05,TRUE,13,1,12,1,1,1,Up,NA
Gpt2,3700,3,10.26834705,10.2315974,0,0,0,TRUE,64,1,13,1,3623,1,Up,NA
Gpx2.ps1,52,13,2,1.963250345,9.27E-07,4.49E-06,4.49E-06,TRUE,1,1,1,11,50,1,Up,NA
Gpx4.ps2,108,3,5.169925001,5.133175347,0,0,0,TRUE,6,1,101,1,1,1,Up,NA
Gramd1b,1295,6,7.753773882,7.717024227,0,0,0,TRUE,297,1,975,1,23,4,Up,NA
Gramd4,24,3,3,2.963250345,2.14E-05,9.43E-05,9.37E-05,TRUE,13,1,10,1,1,1,Up,NA
Grap2,37,3,3.624490865,3.58774121,7.97E-09,4.31E-08,4.29E-08,TRUE,31,1,5,1,1,1,Up,NA
Grb10,161,3,5.745954377,5.709204723,0,0,0,TRUE,12,1,148,1,1,1,Up,NA
Grb2,230,3,6.26052755,6.223777895,0,0,0,TRUE,185,1,44,1,1,1,Up,NA
Grcc10,2257,3,9.555228202,9.518478548,0,0,0,TRUE,109,1,2147,1,1,1,Up,NA
Grem1,101,3,5.073248982,5.036499327,0,0,0,TRUE,9,1,91,1,1,1,Up,NA
Gria2,771,46,4.067025094,4.030275439,0,0,0,TRUE,385,1,385,1,1,44,Up,NA
Gria3,81,3,4.754887502,4.718137847,0,0,0,TRUE,34,1,46,1,1,1,Up,NA
Grid1,21,3,2.807354922,2.770605267,0.000123959,0.000515349,0.000511515,TRUE,6,1,14,1,1,1,Up,NA
Grid2,1848,243,2.926936538,2.890186883,0,0,0,TRUE,499,1,1342,1,7,241,Up,NA
Grik1,9906,487,4.346308944,4.309559289,0,0,0,TRUE,660,485,9245,1,1,1,Up,NA
Grik2,461,83,2.473583509,2.436833854,0,0,0,TRUE,388,1,72,14,1,68,Up,NA
Grin1,445,3,7.212699025,7.17594937,0,0,0,TRUE,16,1,428,1,1,1,Up,NA
Grin2b,1008,169,2.576400487,2.539650832,0,0,0,TRUE,434,167,573,1,1,1,Up,NA
Grin3a,154,7,4.459431619,4.422681964,0,0,0,TRUE,144,1,9,5,1,1,Up,NA
Grina,61,3,4.345774837,4.309025182,2.00E-15,1.39E-14,1.39E-14,TRUE,5,1,55,1,1,1,Up,NA
Grip1,1219,7,7.444127489,7.407377834,0,0,0,TRUE,52,3,37,3,1130,1,Up,NA
Gripap1,895,3,8.220781371,8.184031717,0,0,0,TRUE,92,1,169,1,634,1,Up,NA
